category_id,category
1,Best Mobile Game
2,Best Score/Soundtrack
3,Games for Impact
4,Best Action/Adventure
5,Best Fighting Game
6,Best Sports/Racing Game
7,Game of the Year
8,Best Indie Game
9,Best Narrative
10,Best Action Game
11,Best Role Playing Game
12,Best Family Game
13,Best Multiplayer
14,Best Art Direction
15,Best Game Direction
16,Best VR/AR Game
17,Best Sim/Strategy Game
18,Best Audio Design
19,Best Ongoing Game
20,Best Debut Indie Game
21,Best Community Support
22,Players' Voice
23,Innovation in Accessibility
24,Most Anticipated Game
