date,game_id,earnings,players,tournaments
2013-07-01,84,425214,195,18
2013-07-01,657,3500,5,1
2013-08-01,84,2903395.79,95,7
2013-08-01,657,19972.38,20,1
2013-08-01,78,60,4,2
2013-09-01,84,37813.44,82,13
2013-09-01,657,20000,0,1
2013-09-01,67,0,8,1
2013-10-01,84,64237.32,55,6
2013-10-01,471,25,1,1
2013-11-01,84,484692.96,132,17
2013-11-01,45,58195,41,7
2013-11-01,30,15408.65,20,2
2013-11-01,471,1370.34,2,2
2013-11-01,67,0,4,1
2013-12-01,84,249285.08,227,14
2013-12-01,45,10554.3,31,7
2014-01-01,84,537172.02,62,9
2014-01-01,45,29025,29,5
2014-01-01,471,21067.79,14,4
2014-01-01,148,740,6,1
2014-01-01,30,544.79,16,4
2014-01-01,193,478.39,3,1
2014-02-01,84,109103.95,80,9
2014-02-01,45,21275,24,7
2014-02-01,471,8445.54,16,10
2014-02-01,30,1225.25,11,5
2014-03-01,45,1030131.5,44,6
2014-03-01,657,217909.6,40,1
2014-03-01,84,39847.26,49,5
2014-03-01,471,30109.94,21,13
2014-03-01,30,28901.55,26,6
2014-03-01,193,723.17,3,1
2014-03-01,78,500,3,1
2014-03-01,148,70,17,3
2014-03-01,67,0,16,2
2014-04-01,84,611868.16,216,20
2014-04-01,45,37433.26,44,7
2014-04-01,471,34203.2,32,13
2014-04-01,657,10000,10,1
2014-04-01,30,7555.3,41,8
2014-04-01,148,30,17,3
2014-04-01,67,0,8,1
2014-04-01,78,0,4,1
2014-05-01,45,53419.81,71,10
2014-05-01,84,50002.17,101,7
2014-05-01,471,36186.6,28,16
2014-05-01,657,35000,5,1
2014-05-01,30,28562.48,25,5
2014-05-01,193,1822.4,0,1
2014-05-01,67,0,8,1
2014-05-01,148,0,8,1
2014-06-01,84,1153704.61,210,19
2014-06-01,45,103415.72,68,7
2014-06-01,471,47931.47,43,13
2014-06-01,148,8180,5,2
2014-06-01,30,1361.73,16,6
2014-06-01,78,1200,3,1
2014-07-01,84,10942434.87,131,9
2014-07-01,471,79474.3,48,15
2014-07-01,657,50000,15,1
2014-07-01,219,29410.25,4,1
2014-07-01,45,21323.52,32,5
2014-07-01,148,13379.8,8,1
2014-07-01,30,1222.28,15,5
2014-08-01,45,85471.31,33,7
2014-08-01,657,50000,19,1
2014-08-01,84,42422.07,87,8
2014-08-01,471,28650.81,38,21
2014-08-01,30,27834.24,28,6
2014-09-01,84,653064.9,160,13
2014-09-01,471,170246.05,83,19
2014-09-01,657,35000,20,1
2014-09-01,45,1960,0,2
2014-09-01,30,1161.12,15,5
2014-09-01,434,128.87,1,1
2014-10-01,84,1006807.68,201,14
2014-10-01,471,277930.52,63,18
2014-10-01,45,107643.47,32,4
2014-10-01,30,2938.74,15,6
2014-10-01,434,1329.79,10,17
2014-10-01,67,0,8,1
2014-10-01,148,0,8,1
2014-10-01,207,0,8,1
2014-11-01,84,391651.25,163,9
2014-11-01,471,305478.17,47,17
2014-11-01,657,100000,60,3
2014-11-01,349,84906.71,96,21
2014-11-01,30,25903.75,20,6
2014-11-01,45,25000,12,1
2014-11-01,434,10120.22,22,22
2014-11-01,948,1300,5,4
2014-11-01,144,0,3,1
2014-12-01,84,1070101.65,302,28
2014-12-01,471,83520.79,88,18
2014-12-01,349,42041.1,84,19
2014-12-01,948,12957.5,42,15
2014-12-01,45,9337.36,32,1
2014-12-01,434,3230.02,20,15
2014-12-01,30,1111.95,20,5
2015-01-01,657,2612259,40,1
2015-01-01,84,345579.13,200,15
2015-01-01,349,63413.65,83,22
2015-01-01,471,62720.15,19,5
2015-01-01,948,18039.14,56,14
2015-01-01,434,1221.81,13,15
2015-01-01,30,1055.59,17,5
2015-02-01,84,3088520.01,142,8
2015-02-01,349,129276.62,160,30
2015-02-01,471,47060.65,63,17
2015-02-01,948,16649.66,77,18
2015-02-01,434,2583.37,31,28
2015-02-01,148,1080,6,2
2015-02-01,30,1027.4,15,5
2015-02-01,577,391.9,3,1
2015-02-01,207,210,3,1
2015-03-01,349,1048225.17,156,37
2015-03-01,471,183585.26,107,27
2015-03-01,84,143801.15,153,14
2015-03-01,948,44523.46,110,27
2015-03-01,434,10292.74,32,39
2015-03-01,30,7594.2,21,7
2015-03-01,901,648.76,20,4
2015-03-01,657,496.69,20,4
2015-03-01,148,0,8,1
2015-03-01,207,0,8,1
2015-04-01,84,321125.48,235,30
2015-04-01,471,124414,83,23
2015-04-01,657,93134.52,72,7
2015-04-01,349,74415.6,132,24
2015-04-01,948,45710.39,129,29
2015-04-01,30,42353.29,40,6
2015-04-01,434,16608.94,39,32
2015-04-01,1037,7670,13,4
2015-04-01,577,1765.26,0,1
2015-04-01,901,1027.65,31,5
2015-04-01,148,0,8,1
2015-04-01,207,0,8,1
2015-05-01,84,1149751.95,317,29
2015-05-01,349,188798.48,205,43
2015-05-01,471,162151.36,103,26
2015-05-01,948,78853.31,112,25
2015-05-01,434,36936.96,48,39
2015-05-01,901,16227.6,48,8
2015-05-01,1037,14345.27,19,6
2015-05-01,800,13463.28,20,1
2015-05-01,148,11175.27,11,2
2015-05-01,30,1119.86,15,6
2015-05-01,78,700,3,1
2015-05-01,207,380,3,1
2015-05-01,657,134.44,5,1
2015-06-01,84,1071907.2,258,22
2015-06-01,471,176823.5,106,29
2015-06-01,948,149236.98,215,29
2015-06-01,349,145722.98,298,47
2015-06-01,657,128000,59,3
2015-06-01,901,101066.21,39,6
2015-06-01,604,26544.76,3,1
2015-06-01,434,25173.42,39,36
2015-06-01,1037,19661.46,20,7
2015-06-01,148,15950,8,1
2015-06-01,30,1011.14,15,5
2015-06-01,207,550,6,2
2015-06-01,78,410,3,1
2015-07-01,84,583115.71,264,18
2015-07-01,948,275935.67,278,36
2015-07-01,657,177747.02,46,5
2015-07-01,1037,163481.91,23,8
2015-07-01,471,151333.71,110,37
2015-07-01,349,95374.72,203,41
2015-07-01,148,53970,8,1
2015-07-01,1188,34580,8,1
2015-07-01,434,14788.33,34,36
2015-07-01,207,14370,8,1
2015-07-01,30,8043.3,41,7
2015-07-01,577,1000,0,1
2015-07-01,901,660.28,26,4
2015-07-01,1774,300,6,1
2015-08-01,84,18463252.88,196,16
2015-08-01,948,373748.34,280,32
2015-08-01,471,239839.5,102,25
2015-08-01,349,190436.47,207,53
2015-08-01,434,18581.85,39,38
2015-08-01,30,13711.31,19,6
2015-08-01,1037,12360.9,19,9
2015-08-01,940,11524,8,1
2015-08-01,1118,1296.91,24,11
2015-08-01,657,1072.06,16,6
2015-08-01,901,824.45,30,5
2015-08-01,148,360,3,1
2015-08-01,1774,250,3,1
2015-08-01,207,180,3,1
2015-08-01,1154,50,0,1
2015-09-01,471,283534.62,38,10
2015-09-01,349,269077.34,191,37
2015-09-01,948,165406.12,164,16
2015-09-01,84,146011.16,175,12
2015-09-01,1188,21300,6,1
2015-09-01,1118,2796.14,19,14
2015-09-01,434,2535.31,29,30
2015-09-01,932,2000,4,1
2015-09-01,1037,1490,6,2
2015-09-01,30,1013.97,10,5
2015-09-01,1774,450,8,3
2015-09-01,657,409.49,10,4
2015-09-01,148,140,2,1
2015-10-01,84,728072.42,211,18
2015-10-01,948,308219.66,230,23
2015-10-01,349,278813.96,188,28
2015-10-01,471,163549.2,81,23
2015-10-01,657,72335.51,72,5
2015-10-01,1037,13461.9,13,3
2015-10-01,901,11054.1,15,1
2015-10-01,1118,7839.48,41,20
2015-10-01,30,4383.02,30,6
2015-10-01,932,2000,4,1
2015-10-01,1774,1600,46,2
2015-10-01,911,1035.18,11,4
2015-10-01,434,842.36,10,4
2015-10-01,1097,838.5,8,13
2015-10-01,1154,720,3,1
2015-10-01,207,670,8,1
2015-10-01,1055,464,3,1
2015-10-01,148,340,3,1
2015-11-01,84,3523821.23,285,22
2015-11-01,948,622759.75,189,24
2015-11-01,657,573500,115,5
2015-11-01,471,394940.51,68,15
2015-11-01,828,56360.12,81,9
2015-11-01,911,15920.5,10,4
2015-11-01,940,10400,15,3
2015-11-01,1118,5231.95,41,20
2015-11-01,932,2000,4,1
2015-11-01,349,1306.13,21,3
2015-11-01,30,1081.8,12,6
2015-11-01,1097,843,9,15
2015-11-01,1542,760,37,5
2015-11-01,1037,450.99,3,1
2015-11-01,1774,300,8,3
2015-11-01,207,168.16,3,1
2015-11-01,148,122.3,3,1
2015-12-01,84,1471862.14,294,23
2015-12-01,471,382631.27,85,14
2015-12-01,948,357887.2,145,16
2015-12-01,657,50000,30,1
2015-12-01,1188,41334.27,3,1
2015-12-01,828,21237.33,85,14
2015-12-01,1118,6812.08,42,14
2015-12-01,940,6566.94,21,3
2015-12-01,911,5751.43,12,3
2015-12-01,1542,2560,24,5
2015-12-01,30,988.09,14,5
2015-12-01,1774,810,11,3
2015-12-01,1097,672,7,12
2015-12-01,148,90,3,1
2016-01-01,657,1175000,90,2
2016-01-01,84,684021.02,196,14
2016-01-01,471,302580.64,93,9
2016-01-01,948,202029.09,118,14
2016-01-01,1037,112310,8,3
2016-01-01,940,85502.63,66,15
2016-01-01,927,60000,16,1
2016-01-01,148,30830,33,3
2016-01-01,932,30400,16,2
2016-01-01,828,7516.92,36,9
2016-01-01,911,5456.26,17,2
2016-01-01,1118,2362.19,32,15
2016-01-01,1097,838.5,7,15
2016-01-01,1188,800,3,1
2016-01-01,1154,620,0,1
2016-01-01,30,546.05,5,1
2016-01-01,207,490,3,1
2016-01-01,78,180,3,1
2016-01-01,1774,138.08,5,3
2016-02-01,84,259451.93,203,19
2016-02-01,828,181566,176,9
2016-02-01,940,145000,80,4
2016-02-01,471,136660.22,81,16
2016-02-01,948,130800,91,7
2016-02-01,911,8312.2,14,4
2016-02-01,1542,3247.45,61,11
2016-02-01,1118,3173.96,36,13
2016-02-01,1638,2605,15,4
2016-02-01,1774,1022.27,13,4
2016-02-01,1097,673,7,12
2016-02-01,1037,80,6,2
2016-03-01,84,3242298.94,171,13
2016-03-01,940,2504265.8,75,2
2016-03-01,828,432254.16,145,7
2016-03-01,948,376301.21,176,11
2016-03-01,471,308347.01,64,10
2016-03-01,1638,61917.15,33,13
2016-03-01,911,35097.65,9,3
2016-03-01,1118,11994.05,57,18
2016-03-01,1542,9140.12,62,13
2016-03-01,30,2637,15,1
2016-03-01,1037,2565,13,6
2016-03-01,1774,1360,16,4
2016-03-01,1055,1120,3,1
2016-03-01,148,860,6,2
2016-03-01,1097,391.5,6,7
2016-03-01,1188,320,3,1
2016-03-01,1091,230,3,1
2016-04-01,948,611038,105,6
2016-04-01,84,450127.1,168,14
2016-04-01,828,309329.68,80,6
2016-04-01,927,60000,24,1
2016-04-01,471,32398.58,56,8
2016-04-01,1325,15000,2,1
2016-04-01,1542,9705.99,53,12
2016-04-01,1118,9052.46,76,30
2016-04-01,1638,8695,25,10
2016-04-01,657,7796.95,30,3
2016-04-01,1188,3000,8,1
2016-04-01,1774,1111.32,7,6
2016-04-01,1523,1000,0,1
2016-04-01,1037,659.29,6,3
2016-04-01,1672,566.91,3,1
2016-04-01,911,398.83,3,1
2016-04-01,1097,336,4,6
2016-04-01,1091,80,3,1
2016-04-01,148,50,3,1
2016-05-01,84,1054186.63,215,10
2016-05-01,948,406226.8,163,9
2016-05-01,471,241970.21,132,19
2016-05-01,828,67971.6,92,4
2016-05-01,1638,52299.28,47,11
2016-05-01,911,35904.69,16,4
2016-05-01,1542,26397.62,96,11
2016-05-01,1096,25995.57,3,1
2016-05-01,1118,18665.7,90,33
2016-05-01,657,14040,31,2
2016-05-01,1037,12935.7,17,4
2016-05-01,940,7971.6,12,1
2016-05-01,1188,5643.68,14,3
2016-05-01,1774,3260,63,5
2016-05-01,148,1530,10,2
2016-05-01,207,290,6,2
2016-05-01,1091,160.17,4,1
2016-06-01,84,3319441.92,140,5
2016-06-01,948,772400,119,3
2016-06-01,471,306510.07,67,13
2016-06-01,657,300000,114,3
2016-06-01,1037,200000,8,1
2016-06-01,828,116026,97,3
2016-06-01,2417,100000,20,1
2016-06-01,1542,60633.61,98,26
2016-06-01,1638,38370,11,2
2016-06-01,1091,17490,16,2
2016-06-01,1118,6300.32,77,30
2016-06-01,1188,5560,8,1
2016-06-01,1774,2350,26,5
2016-06-01,148,1150,8,1
2016-06-01,1096,232.2,3,1
2016-07-01,84,1309745.81,340,20
2016-07-01,828,560540,106,7
2016-07-01,940,293000,49,3
2016-07-01,471,192870.13,90,11
2016-07-01,1542,156328.29,326,41
2016-07-01,948,133192,91,3
2016-07-01,1638,116070,13,2
2016-07-01,1325,99750.27,4,1
2016-07-01,1277,90024,10,1
2016-07-01,927,50000,32,1
2016-07-01,657,38300,72,4
2016-07-01,1091,21800,8,1
2016-07-01,148,20460,8,1
2016-07-01,1118,18049.29,91,35
2016-07-01,1188,5490,8,1
2016-07-01,1774,3899.82,33,10
2016-07-01,911,1155.52,5,2
2016-07-01,1096,245.86,3,1
2016-08-01,84,20858599.5,160,6
2016-08-01,948,328520,110,3
2016-08-01,1542,163282.62,221,30
2016-08-01,471,127879.57,64,8
2016-08-01,828,106940.2,44,3
2016-08-01,1118,69281.7,83,28
2016-08-01,1687,46235.07,5,1
2016-08-01,657,43520,60,3
2016-08-01,1638,8360,20,5
2016-08-01,911,4814.28,8,1
2016-08-01,1188,3000,8,1
2016-08-01,1774,1982.66,24,8
2016-08-01,1523,1000,0,1
2016-08-01,1096,516.31,6,2
2016-08-01,1091,355,4,2
2016-09-01,828,2008322.22,139,2
2016-09-01,1542,379570.85,271,28
2016-09-01,471,260290.8,78,10
2016-09-01,84,208035.2,157,9
2016-09-01,948,135836,70,4
2016-09-01,1118,65252.16,117,41
2016-09-01,1638,37771.42,26,4
2016-09-01,1774,6367.94,37,11
2016-09-01,1760,1584.2,5,2
2016-09-01,1037,500,3,1
2016-09-01,1096,253.9,3,1
2016-09-01,1091,50,1,1
2016-10-01,84,645307.65,231,14
2016-10-01,1542,371307.85,363,29
2016-10-01,948,267606,125,5
2016-10-01,471,170465.17,63,11
2016-10-01,1638,146793.77,41,6
2016-10-01,828,60484.9,64,4
2016-10-01,940,53750,51,6
2016-10-01,1118,34486.03,128,49
2016-10-01,1418,28415,40,6
2016-10-01,657,24035.09,40,3
2016-10-01,1403,15000,4,1
2016-10-01,1097,12400,9,2
2016-10-01,1325,10109.29,6,3
2016-10-01,1188,8244.56,14,2
2016-10-01,1774,6439,49,9
2016-10-01,2417,4000,6,1
2016-10-01,30,2887.63,20,1
2016-10-01,810,2836.51,11,2
2016-10-01,1564,1875.3,8,2
2016-10-01,148,599.59,6,2
2016-10-01,207,470,3,1
2016-10-01,1760,359.36,13,4
2016-10-01,1055,260,3,1
2016-10-01,1091,216.49,3,1
2016-11-01,471,1107696.94,63,9
2016-11-01,948,1000400,70,3
2016-11-01,84,764842.75,286,17
2016-11-01,1542,377891.9,429,29
2016-11-01,1418,317870,70,8
2016-11-01,1118,125295.66,143,48
2016-11-01,940,106000,37,3
2016-11-01,1325,73000,16,1
2016-11-01,1638,52647.26,30,5
2016-11-01,1774,51000,22,3
2016-11-01,1188,41337.49,17,4
2016-11-01,657,35550,20,1
2016-11-01,1403,15305.99,13,3
2016-11-01,1097,12400,9,2
2016-11-01,1760,5013.48,39,16
2016-11-01,911,4555.07,8,1
2016-11-01,922,4050,29,6
2016-11-01,1037,1080,2,1
2016-11-01,1564,1024.93,10,3
2016-12-01,84,4667978.88,268,12
2016-12-01,1542,461236.07,447,38
2016-12-01,1638,360000,8,1
2016-12-01,948,300000,40,1
2016-12-01,471,298307.95,136,19
2016-12-01,1277,268305.5,25,1
2016-12-01,940,217000,32,2
2016-12-01,1418,155000,40,2
2016-12-01,1118,144792.24,109,48
2016-12-01,175,143490,0,1
2016-12-01,1315,125020.99,56,4
2016-12-01,922,35800,16,1
2016-12-01,1325,31000,8,1
2016-12-01,828,11234.16,24,1
2016-12-01,1097,6416,4,5
2016-12-01,1760,5924.7,28,16
2016-12-01,1188,5203.81,3,1
2016-12-01,1564,1797.48,16,6
2016-12-01,2417,450,15,1
2017-01-01,84,1943033.97,201,11
2017-01-01,657,1150000,60,2
2017-01-01,471,526650.14,116,15
2017-01-01,1542,231537,327,29
2017-01-01,2417,150000,40,1
2017-01-01,1418,102000,45,5
2017-01-01,948,82080,28,1
2017-01-01,940,52000,45,3
2017-01-01,1315,45466.7,52,3
2017-01-01,1118,13269.65,117,63
2017-01-01,1403,12955.2,9,3
2017-01-01,1638,5160,13,3
2017-01-01,810,1660,11,2
2017-01-01,1760,1163.87,13,5
2017-01-01,1774,1060,6,3
2017-01-01,1091,1010,9,3
2017-01-01,148,1000,5,2
2017-01-01,1097,282.5,2,5
2017-01-01,78,240,3,1
2017-01-01,700,221,3,1
2017-01-01,207,190,3,1
2017-02-01,1403,340561.57,42,10
2017-02-01,84,339752.25,111,7
2017-02-01,1315,313055.2,82,9
2017-02-01,1118,82139.07,143,72
2017-02-01,471,80730.29,41,10
2017-02-01,1542,70594.81,303,33
2017-02-01,940,46000,36,3
2017-02-01,1564,40000,4,1
2017-02-01,948,30800,58,3
2017-02-01,1760,11228.23,28,8
2017-02-01,1325,5000,4,1
2017-02-01,1097,4978.71,2,5
2017-02-01,1418,3500,16,7
2017-02-01,810,3240,4,1
2017-02-01,1774,2500,35,4
2017-02-01,1638,307.83,8,1
2017-03-01,940,1050000,52,2
2017-03-01,471,422424.53,69,7
2017-03-01,1315,277852.98,127,10
2017-03-01,948,237891.35,80,3
2017-03-01,1542,108385.88,471,32
2017-03-01,84,65944,120,13
2017-03-01,657,45000,30,1
2017-03-01,1638,35424.09,25,4
2017-03-01,148,30000,32,1
2017-03-01,1118,20872.97,111,56
2017-03-01,1403,4500,3,1
2017-03-01,1418,4000,10,8
2017-03-01,1774,3500,34,5
2017-03-01,2417,2762.75,36,6
2017-03-01,1760,1170.24,6,5
2017-03-01,1097,226,1,4
2017-04-01,84,3800394.59,319,19
2017-04-01,1542,317627.56,427,38
2017-04-01,1403,242390.8,39,11
2017-04-01,1418,205000,70,11
2017-04-01,657,165000,65,2
2017-04-01,471,128480.76,103,14
2017-04-01,1564,120000,12,3
2017-04-01,1118,107405.69,156,57
2017-04-01,1315,104473.16,122,17
2017-04-01,2417,75478.83,60,3
2017-04-01,1638,52585.18,34,7
2017-04-01,948,26095.3,55,3
2017-04-01,922,25000,12,1
2017-04-01,1774,15340.4,62,14
2017-04-01,1277,11808.01,50,1
2017-04-01,1760,1332.78,12,6
2017-04-01,1097,282.5,1,5
2017-04-01,1091,250,5,2
2017-04-01,810,80,3,1
2017-05-01,948,1502538.9,204,7
2017-05-01,1315,746696.38,141,10
2017-05-01,1403,525587.13,51,7
2017-05-01,84,515118.41,245,13
2017-05-01,1638,294184.91,45,7
2017-05-01,471,265317.42,56,8
2017-05-01,1418,103500,50,8
2017-05-01,1118,80132.07,139,37
2017-05-01,940,75000,51,1
2017-05-01,1542,68135.63,255,24
2017-05-01,1924,24160,10,2
2017-05-01,1774,18390,58,10
2017-05-01,657,7900,20,1
2017-05-01,148,6690,8,1
2017-05-01,1325,5499.91,8,1
