review_company_id,review_company
1,eurogamer
2,videogamer
3,nzgamer
4,destructoid
5,ign
6,post arcade (national post)
7,game informer
8,everyeye.it
9,softpedia
10,gamespot
11,polygon
12,arcade sushi
13,gamezone
14,metro gamecentral
15,cogconnected
16,egm
17,ztgd
18,god is a geek
19,gaming nexus
20,levelup
21,darkzero
22,the digital fix
23,kill screen
24,critical hit
25,xgn.nl
26,gamingtrend
27,worth playing
28,new game network
29,hardcore gamer
30,digital chumps
31,gamingbolt
32,gametrailers
33,twinfinite
34,ausgamers
35,gamegrin
36,gameplanet
37,pure xbox
38,cubed3
39,fingerguns
40,push square
41,playstation lifestyle
42,video chums
43,gamepitt
44,nindie spotlight
45,nintendoworldreport
46,nintendo life
47,ps4blog.net
48,fnintendo
49,thisgengaming
50,switching worlds
51,nintendo insider
52,pure nintendo
53,finalboss
54,nintendo enthusiast
55,cgmagazine
56,pc invasion
57,cheat code central
58,examiner
59,gamers heroes
60,actiontrip
61,ign spain
62,pc gamer
63,dualshockers
64,gamesbeat
65,technobuffalo
66,game debate
67,pushstartplay
68,impulsegamer
69,gamewatcher
70,vgchartz
71,gearnuke
72,niche gamer
73,gamestyle
74,gamers ftw
75,nerdburglars
76,psx extreme
77,pixelophobia
78,the games machine
79,ps3blog.net
80,vgprofessional
81,the nintendo nomad
82,spaziogames
83,zefgame.ru
84,play some video games
85,geeks under grace
86,switch player
87,playstation universe
88,noobfeed
89,cublikefoot
90,pittsburgh post-gazette
91,gamecrate
92,33bits
93,thesixthaxis
94,vgn
95,cat with monocle
96,pcgamesn
97,wccftech
98,xbox achievements
99,gbatemp
100,gamespew
101,flickering myth
102,gameblog
103,ign italy
104,cultured vultures
105,dvs gaming
106,jvl
107,selectbutton
108,grandma's game room
109,shacknews
110,games(tm)
111,the game fanatics
112,sector.sk
113,inverse
114,operation sports
115,merlin'in kazanı
116,forbes
117,generación xbox
118,atomix
119,gameranx
120,ppe.pl
121,hobby consolas
122,xboxera
123,paste magazine
124,rpg site
125,videotime
126,rpg fan
127,pixel dynamo
128,turn based lovers
129,techraptor
130,fourfacebuttons
131,the angry joe show
132,sirus gaming
133,electric bento
134,nintendo times
135,mmorpg.com
136,mmogames
137,sequential planet
138,nintendo blast
139,kinglink reviews
140,gamefa
141,gaming masters
142,noisy pixel
143,gamespace
144,culture of gaming
145,waytoomanygames
146,thumb culture
147,jumpcut play
148,monstervine
149,sa gamer
150,gamerheadquarters
151,nexus
152,press start
153,next gen base
154,noespaisparafrikis
155,gryonline.pl
156,use a potion
157,stevivor
158,gamemag
159,victory point
160,readers gambit
161,marooners' rock
162,rectify gaming
163,seafoam gaming
164,neosite
165,miketendo64
166,areajugones
167,gadgets 360
168,powerup!
169,ani-game.com
170,rpgamer
171,hey poor player
172,gotgame
173,switchwatch
174,fextralife
175,the cube
176,the loot gaming
177,pure playstation
178,xbox one uk
179,vgamingnews
180,sick critic
181,nexgam
182,elite gamer
183,zoomg
184,life is xbox
185,ar12gaming
186,ign middle east
187,pardis game
188,ign korea
189,the jimquisition
190,g4@syfygames
191,keengamer
192,saudi gamer
193,wellplayed
194,nintendo wire
195,just push start
196,capsule computers
197,truegaming
198,3dnews
199,psx brasil
200,dashgamer.com
201,remote play
202,reno gazette-journal
203,geek culture
204,ibtimes uk
205,nintendo news
206,cerealkillerz
207,expansive
208,viewport
209,gamepro
210,gamersky
211,gaminguardian
212,movies games and tech
213,entertainment buddha
214,gamer escape
215,japan curiosity
216,siliconera
217,kritiqal
218,somosxbox
219,pc aficionado
220,explosion network
221,red value gaming
222,bazicenter
223,enternity.gr
224,et geekera
225,digiato
226,daily nintendo
227,thereviewgeek
228,gamer's palace
229,eurogamer.pt
230,blast away the game review
231,jack of all controllers
232,kakuchopurei
233,8bit/digi
234,checkpoint gaming
235,chalgyr's game room
236,gaming tree house
237,bazimag
238,forever classic games
239,nookgaming
240,m3
241,player.one
242,dragnix
243,goomba stomp
244,gametainment
245,pure dead gaming
246,pixels game reviews
247,drjoeystein
248,constantly calibrating
249,games xtreme
250,starbit
251,pause resume
252,checkpoint
253,handsome phantom
254,gameblast
255,4 guys with quarters
256,somhráč.sk
257,tom's hardware italia
258,invision community
259,boxplayuk
260,absolutexbox
261,bit cultures
262,jump dash roll
263,but why tho?
264,azralynn
265,spiel times
266,navigames
267,real game media
268,serial gamer italia
269,level down games
270,game forces pt
271,the game is a lie
272,gamerweb.pl
273,mondoxbox
274,corecade
275,gert lush gaming
276,rely on horror
277,total gaming network
278,try hard guides
279,eip gaming
280,gamesfinest
281,easy allies
282,gaming gamma
283,nintendo now
284,respawning
285,twisted voxel
286,playstation galaxy
287,inven
288,gamecynic
289,area xbox
290,xbox sector
291,gamebyte
292,honest gaming reviews
293,onlysp
294,digitalcentralmedia
295,knowtechie
296,pressa2join
297,boomstick gaming
298,8-bit island
299,indiantvcz
300,"rock, paper, shotgun"
301,heavy
302,gaming instincts
303,game volt
304,the games den
305,gamer professionals
306,infinite start
307,the beta network
308,prima games
309,nintendo link
310,the thirsty mage
311,demon gaming
312,the game crater
313,elderplayers
314,squared potato
315,bemanistyle
316,spoil everything
317,words about games
318,nerd much?
319,the outerhaven productions
320,nugame project
321,reloading br
322,geek culture podcast
323,oyungezer online
324,gameluster
325,planet playstation
326,powerpyx
327,squarexo
328,switch atlantic
329,gaming on pc
330,switch era
331,seasoned gaming
332,rpg italia
333,mspoweruser
334,luis alamilla
335,player.it
336,gfinity
337,gamescreed
338,nation fusion
339,the golden cartridge
340,lokoo reviews
341,amber plays games
342,parallax live
343,nerdyaf
344,continue-magazin
345,the bitbag
346,super deformed gamescast
347,teamnerd
348,fenix bazaar
349,the playstation brahs
350,fortress of solitude
351,digital outburst
352,the playstation hub
353,game together
354,old grizzled gamers
355,redtieguy
356,gameskinny
357,fuzzy pixels
358,gamingph
359,click click play
360,sports gamers online
361,guns & pixels
362,quillstreak
363,common sense gaming
364,nerdbacon
365,play watch read
