series_id,series
1,afl
2,akiba's trip
3,angry birds
4,animal crossing
5,arma
6,armored core
7,asphalt
8,assassin's creed
9,attack on titan
10,baldur's gate
11,batman: arkham
12,battlefield
13,beatmania iidx
14,bemani
15,ben 10
16,bioshock
17,wizarding world
18,broken sword
19,x-com
20,call of duty
21,carnivores
22,illusion
23,civilization
24,conception
25,the dark eye
26,dead or alive
27,dead rising
28,deus ex
29,disney infinity
30,divinity
31,dominions 
32,dota
33,touhou project
34,dr. mario
35,luigi
36,drakengard
37,dungeons & dragons
38,earth defense force
39,saints row
40,f1
41,fallout
42,final fantasy
43,forza motorsport
44,god eater
45,gran turismo
46,grand theft auto
47,gujian
48,halo
49,hatsune miku: project diva
50,hot wheels
51,inazuma eleven
52,invizimals
53,just dance
54,killer instinct
55,killzone
56,kingdom hearts
57,trails
58,the legend of zelda
59,fabula nova crystallis
60,lost planet
61,mario & luigi
62,mario & sonic
63,mario party
64,puzzle quest
65,mechwarrior
66,metal gear
67,metal max
68,monster hunter
69,nba 2k
70,nba live
71,ncaa football
72,need for speed
73,nhl series
74,one piece
75,pac-man
76,peggle
77,persona
78,phineas and ferb
79,ace attorney
80,pikmin
81,plants vs. zombies
82,pokémon
83,pro evolution soccer
84,mario
85,puzzle & dragons
86,rabbids
87,ratchet & clank
88,rayman
89,ridge racer
90,rocksmith
91,saint seiya
92,scribblenauts
93,secret files
94,shadow warrior
95,shadowrun
96,skylanders
97,sonic the hedgehog
98,warhammer 40000
99,spongebob squarepants
100,tiny tower
101,steamworld
102,super mario
103,teenage mutant ninja turtles
104,tom clancy's splinter cell
105,total war
106,the walking dead
107,walking with dinosaurs
108,wii
109,fables
110,worms
111,world rally championship
112,wwe 2k
113,x
114,blazblue
115,xcom
116,yo-kai watch
117,zoo tycoon
118,fifa world cup
119,ace combat
120,adventure time
121,age of empires
122,alien
123,atelier
124,the banner saga
125,bayonetta
126,blackwell
127,borderlands
128,brothers in arms
129,cabela's big game hunter
130,car mechanic simulator
131,castlevania
132,science adventure
133,chaos rings
134,el chavo
135,daisenryaku
136,dance central
137,danganronpa
138,dark souls
139,deception
140,kirby
141,destiny
142,diablo
143,digimon
144,don bradman cricket
145,donkey kong
