publisher_id,publishers
1,take-two
2,the fun pimps
3,double fine productions
4,michael brough
5,bigben interactive
6,tru blu entertainment
7,acquire
8,xseed games
9,nis america
10,ci games
11,frictional games
12,rovio entertainment
13,nintendo
14,bohemia interactive
15,bandai namco
16,fromsoftware
17,microsoft studios
18,signal studios
19,505 games
20,gameloft
21,ubisoft
22,grip games
23,examu
24,atlus
25,lockwood publishing
26,atari
27,beamdog
28,skybound games
29,mastiff
30,hamster corporation
31,raw thrills
32,warner bros. interactive entertainment
33,crimson cow
34,thq nordic
35,electronic arts
36,konami
37,d3 publisher
38,sony computer entertainment
39,quantic dream
40,kunabi brother
41,kalypso media
42,midnight city
43,a-lim
44,gumi
45,gun media
46,gambitious digital entertainment
47,devolver digital
48,revolution software
49,arcane kids
50,activision blizzard
51,blue manchu
52,the knights of unity
53,vogster entertainment
54,sega
55,disney mobile
56,feral interactive
57,microsoft game studios
58,ska studios
59,slimstown studios
60,bitcomposer games
61,aspyr
62,matrix games
63,spike chunsoft
64,focus home interactive
65,arc system works
66,daedalic entertainment
67,mingle games
68,bulkypix
69,iceberg interactive
70,wild games studio
71,tecmo koei
72,deca games
73,nordic games
74,ios
75,android
76,rayark games
77,pm studios
78,circle entertainment
79,flyhigh works
80,qcf design
81,square enix
82,simogo
83,disney interactive studios
84,5pb.
85,iron galaxy
86,larian studios
87,neowiz games
88,tiny rebel games
89,illwinter
90,valve
91,team shanghai alice
92,playism
93,anuman
94,atlus usa
95,sony online entertainment
96,gamigo
97,aeria games
98,capcom
99,marvelous usa
100,pqube
101,minor key games
102,michael todd games
103,deep silver
104,paradox interactive
105,furyu
106,codemasters
107,phoenix online studios
108,compile heart
109,idea factory international
110,advent dark force
111,ghostlight interactive
112,radian-helix media
113,sekai project
114,alice in dissonance
115,replay games
116,chillingo
117,betadwarf
118,gamemill entertainment
119,avanquest software
120,bergsala lightweight
121,microids
122,lucky frame
123,majesco entertainment
124,the fullbright company
125,annapurna interactive
126,gamebar
127,soft-world international corporation
128,crackshell
129,natsume inc.
130,rising star games
131,warner bros. games
132,sparpweed games
133,1c company
134,level-5
135,epic games
136,zero point software
137,sony computer entertainment europe
138,zachtronics
139,zen studios
140,scea
141,kadokawa games
142,windows
143,bumblebear games
144,ice-pick lodge
145,nihon falcom
146,marvelous europe
147,turbine
148,inc.
149,wizards of the coast
150,kickback studios
151,d3 go!
152,wired productions
153,personae studios
154,infinite game publishing
155,piranha games
156,kaasa health
157,crescent moon games
158,gungho online entertainment
159,na/aksys games
160,outfit7
161,ynnis interactive
162,her interactive
163,koch media
164,ng:dev.team
165,nether productions
166,super fighter team
167,fdg entertainment
168,red barrels
169,yuke's
170,slitherine software
171,3909 llc
172,tencent
173,grinding gear games
174,garena
175,kakao games
176,serious games interactive
177,game freak
178,nimblebit
179,the pokémon company
180,flippfly
181,the adventure company
182,kingnet technology
183,koramgame
184,apogee software
185,llc
186,chucklefish
187,fireproof games
188,crytek
189,beau blyth
190,ufo interactive games
191,bitbox
192,harebrained schemes
193,gaijin entertainment
194,topware interactive
195,mts freestyle
196,intelligible games
197,full control
198,funbox media
199,hoplite research
200,clickteam
201,image & form
202,ivent games
203,no crusts interactive
204,xgen studios
205,original
206,rain games
207,remastered
208,modus games
209,strategy first
210,rovio stars
211,etermax
212,arte
213,endless fluff
214,adult swim games
215,crazy viking studios
216,telltale games
217,my.games
218,astrum entertainment
219,nippon ichi software
220,platinumgames
221,wargaming
222,team17
223,eu/bigben interactive
224,egosoft
225,aksys games
226,little orbit
227,majesco entertainment hamsterjp
228,inkle
229,nicalis
230,solebon llc
231,hyper hippo productions
232,kongregate
233,triumph studios →
234,carbon games
235,haruneko
236,krillbite studio
237,aperture tag team
238,koei tecmo
239,unity games
240,fuzzy wuzzy games
241,kunos simulazioni
242,gust co. ltd.
243,inti creates
244,versus evil
245,bloober team
246,blackpowder games
247,freebird games
248,bplus
249,pearl abyss
250,wadjet eye games
251,studio saizensen
252,targem games
253,minimega
254,supercell
255,mojang
256,playway s.a.
257,stolen couch games & rokaplay gmbh
258,jason rohrer
259,na/pqube
260,frima studio
261,televisa home entertainment
262,game
263,harmonix
264,playsaurus
265,nexon
266,naddic games
267,idea factory
268,obscurasoft
269,interdimensional games
270,hipster whale android
271,tvos
272,yodo1 windows phone
273,bulldog interactive
274,microsoft windows
275,systemsoft alpha
276,headup games
277,cloak and dagger games
278,doublebear productions
279,blinkbat games
280,bungie
281,sony interactive entertainment
282,infinite state
283,digerati
284,killhouse games
285,qubicgames
286,digital happiness
287,dejobaan games
288,amplitude studio
289,not doppler
290,ice water games
291,bethesda softworks
292,frontier developments
293,ansimuz games
294,amirali rajan
295,white paper games
296,over the moon games
297,jam city
298,tinybuild
299,reverb triple xp
300,dena
301,red 5 studios
302,scott cawthon
303,phosfiend systems
304,noodlecake studios
305,galaxytrail
306,marvelous
307,mixedbag
308,invictus games
309,coffee stain studios
310,double eleven
311,22cans
312,hb studios
313,collector's edition
314,maximum games
315,ravenscourt
316,cygames
317,indian air force
318,arcade
319,maiet entertainment
320,prosiebensat.1 media
321,ini3
322,xbox game studios
323,eu/rising star games
324,longbow games
325,nis
326,rocket bear games
327,new world interactive
328,stack
329,cbe software
330,bitcomposer entertainment
331,unlimited reality
332,cinemax
333,uig entertainment
334,hothead games
335,loot entertainment
336,soedesco
337,almost human
338,team reptile
339,treefall studios
340,xaviant
341,lace games
342,serenity forge
343,stage 2 studios
344,dingaling productions
345,edge of reality
346,ghostlight
347,state of play games
348,lohika games
349,space inch
350,kabam
351,dave & buster's
352,ninja pig studios
353,tribute games
354,digital dreams
355,phoenix online publishing
356,nowhere studios
357,merge games
358,ustwo games
359,idreamsky
360,madfinger games
361,milestone
362,limasse five
363,gamengame
364,blue bottle games
365,e-line media
366,infinitap games
367,messhof
368,young horses
369,oddworld inhabitants
370,roll7
371,curve digital
372,creability
373,intense
374,if games
375,jp/atlus
376,pastagames
377,planetary annihilation inc
378,midoki
379,nival
380,engine software
381,ripstone
382,play it
383,upfall studios
384,reef entertainment ltd
385,ironward
386,turbo pixel studios
387,giant spacekat
388,snk playmore
389,room 8 studio
390,spry fox
391,no goblin llc
392,black shell media
393,surprise attack
394,blade monkeys
395,broken rules
396,lump of sugar
397,marvelous aql
398,dead mage
399,nekki
400,snow cannon games
401,wayforward technologies
402,kitfox games
403,frogwares
404,yacht club games
405,rcmadiax
406,jundroo llc
407,channel 4 television
408,mediocre
409,hi-rez studios
410,tencent games
411,naiad entertainment
412,rebellion developments
413,oovee game studios
414,imgn
415,die gute fabrik
416,codehatch
417,supercrit
418,experience
419,na/nis america
420,ragequit corporation
421,firefly studios
422,capybara games
423,battlegoat studios
424,.gears
425,kadokawa corporation
426,perfect world entertainment
427,winter wolves
428,brightside games
429,mistwalker
430,signhead studio
431,11 bit studios
432,sirvo
433,donuts co. ltd
434,success corporation
435,limbic software
436,blankmediagames
437,codemasters racing
438,supergiant games
439,secret exit ltd.
440,playdots
441,llamasoft
442,pyrodactyl games
443,smartly dressed games
444,the astronauts
445,futurlab
446,vrchat inc.
447,herocraft
448,eutechnyx
449,astragon
450,rocketcat games
451,akupara games
452,ncsoft
453,cd projekt red
454,minivisions
455,frozenshard games
456,final boss entertainment
457,goldhawk interactive
458,renegade kid
459,milkstone studios
460,robot gentleman
461,limited run games
462,tic toc games
463,voxelstorm
464,napnok games
465,nicolas entertainment group
466,miniclip
467,iron tower studio
468,yak & co
469,art in games
470,k bros games
471,atari sa
472,visual arts
473,alientrap
474,studio wildcard
475,league of geeks
476,meta publishing
477,witch beam
478,extreme co.
479,dylan fitterer
480,aerosoft gmbh
481,spiderweb software
482,sketchy logic
483,vertical reach
484,thomas happ games
485,cheetah games
486,beamng gmbh
487,standfast interactive
488,everything unlimited ltd.
489,positech games
490,klabater
491,hanako games
492,fiolasoft studio
493,klabgames
494,plug in digital
495,jagex
496,fatshark
497,a crowd of monsters
498,bulbware
499,incandescent imaging
500,microsoft
501,calvino noir
502,ltd.
503,stainless games
504,snapshot games
505,behold studios
506,pixel maniacs
507,kenny sun
508,reddeergames
509,grid sage games
510,devespresso games
511,colepowered games
512,baggy cat
513,indietopia games
514,flying cafe for semianimals
515,brace yourself games
516,klei entertainment
517,cypronia
518,halfbrick studios
519,badfly interactive
520,3blackdot
521,neocoregames
522,trion worlds-krafton
523,dreadlocks ltd
524,warchest
525,big huge games
526,crows crows crows
527,grimm bros
528,windows phone
529,windows 10
530,laplace
531,owlchemy labs
532,flix interactive
533,erik svedäng
534,hitchcock games
535,eleon game studios
536,lexaloffle games
537,hempuli oy
538,shiro games
539,shin'en multimedia
540,aniplex
541,aniplex of america
542,finji games
543,clickteam llc usa
544,dear villagers
545,killmonday games
546,alchemist
547,jp/inti creates
548,stardock
549,17-bit
550,hucast games
551,grey box
552,hörberg productions
553,nhn entertainment
554,fellow traveller
555,defiant development
556,destructive creations
557,sam barlow
558,level infinite
559,aquiris game studio
560,glass bottom games
561,tomorrow corporation
562,experimental gameplay group
563,huniepot
564,inframez technology
565,bossa studios
566,indomitus games
567,vd-dev
568,agatsuma entertainment
569,thunder lotus games
570,ludia
571,steel crate games
572,green hill
573,zeptolab
574,raw fury
575,ilusis interactive graphics
576,extreme games
577,softstar
578,changyou
579,eastasiasoft
580,aterdux entertainment
581,universal studios
582,amblin entertainment
583,funcom
584,asteroid base
585,shiver games
586,marvelous entertainment
587,question
588,netmarble games
589,iron cloud entertainment
590,industrial toys
591,silicon jelly
592,dinosaur polo club
593,playdigious
594,machine zone
595,milestone srl
596,untame
597,last dimension
598,metanet software
599,dusenberry martin racing
600,flying mollusk
601,nitroplus
602,marvelous inc.
603,notgames llp
604,no gravity games
605,vlambeer
606,joymasher
607,cosmo d
608,sigono
609,eqg
610,outerminds inc.
611,re-logic
612,ndemic creations
613,madruga works
614,forwardxp
615,deco digital
616,bevel studios
617,ios/android
618,prism studios
619,circle 5 studios
620,introversion software
621,polyculture
622,intragames
623,atypical games
624,na/acttil
625,double damage games
626,netease
627,my.com
628,psyonix
629,radial games
630,13am games
631,blackfire games
632,mortal moments
633,5 lives studios
634,team eleven eleven
635,whalenought studios
636,triada studio games
637,kchamp games
638,rumilus design
639,kiss ltd
640,pixelbite
641,forever entertainment
642,tiger style
643,matthew brown games
644,digital tribe games
645,the brotherhood
646,the whale husband
647,cartoon network games
648,beam team games
649,s2 games
650,microïds
651,uppercut games
652,failbetter games
653,tale of tales
654,scek
655,atlus & acttil
656,mindscape
657,vostok games
658,morepork games
659,digital extremes
660,stroboskop
661,berserk games
662,chudchud industries
663,muha games
664,bracket games
665,zachtronics industries
666,ohnoo studio
667,mikengreg
668,flazm
669,blitworks
670,frozenbyte
671,trion worlds
672,krome studios
673,stygian software
674,toby fox
675,8-4
676,twilight frontier
677,aquaplus
678,m2h
679,blackmill games
680,eurovideo medien
681,plarium
682,runestorm
683,mike bithell games
684,scopely
685,pocket gems
686,rodeo games
687,hammerfall publishing
688,date nighto
689,roi games
690,evil tortilla games
691,cd projekt
692,grin gamestudio
693,kobojo
694,sold out
695,petroglyph games
696,batterystaple games
697,qubyte interactive
698,no goblin
699,ink stories
700,anuman / kalypso
701,scs software
702,badland indie
703,ycjy
704,digerati distribution
705,dangen entertainment
706,lince works
707,mad virtual reality studio
708,vertigo games
709,stardock entertainment
710,netflix
711,kiro'o games
712,plug-in digital
713,midjiwan ab
714,exordium games
715,hexecutable
716,alawar entertainment
717,3d realms
718,stellar jockeys
719,wales interactive
720,astragon entertainment
721,crunching koalas
722,transhuman design
723,crosse studios
724,usc games publishing
725,gunfire games
726,aspyr media
727,mojang studios
728,gsc game world
729,butterscotch shenanigans
730,maschinen-mensch
731,three fields entertainment
732,red hook studios
733,daniel wright
734,behaviour interactive
735,netease games
736,starbreeze studios
737,digital touch
738,hopoo games
739,cowcat games
740,red sky games
741,sylvain seccia
742,sorath
743,addicting games
744,kava game studios
745,alliance digital media
746,autumn moon entertainment
747,misfits attic
748,jpn & nexon
749,oculus studios
750,fuzzyeyes entertainment
751,pixel hero games
752,dire wolf digital
753,ccp games
754,oculus vr
755,analgesic productions
756,ocelot society
757,game closure
758,northway games
759,aerosoft
760,perfect world games
761,panic
762,campo santo
763,sassybot
764,the game bakers
765,cloudhead games
766,playrix
767,behdad sami interactive
768,unepic_fran
769,dark winter
770,longcheng tianxia
771,x.d. global
772,darkwinter software
773,sunborn japan
774,future tech lab
775,yukitama creative industries
776,crate entertainment
777,trickster arts
778,drizzly bear
779,massive damage
780,billy goat entertainment ltd
781,tlm games
782,reto-moto
783,hap inc.
784,kemco
785,studio élan
786,narayana games
787,gearbox software
788,mihoyo
789,hoyoverse
790,marauder interactive
791,heart machine
792,abylight studios
793,schell games
794,x.d. network
795,loiste interactive
796,playdead
797,carl burton
798,ludosity
799,tripwire interactive
800,snk
801,vespa
802,glohow
803,daybreak game company
804,noxy games
805,nitrome
806,faber interactive
807,lichthund
808,netmarble
809,rasheed abueideh
810,umbrella
811,igg
812,playful studios
813,gametion technologies pvt ltd
814,mobcast
815,tinyco
816,na/idea factory
817,martin magni
818,rainy frog
819,moonton
820,elex technology
821,pc
822,those awesome guys
823,reverb communications
824,zillion whales
825,amistech games
826,cheritz
827,10tons
828,digital cybercherries
829,zeenoh
830,hello games
831,d4 enterprise
832,cyan worlds
833,degica
834,d-pad studio
835,night school studio
836,giant margarita
837,firi games
838,pathea games
839,mindfield games
840,daniel mullins games
841,blendo games
842,moss
843,zach gage
844,34bigthings
845,two tribes publishing b.v.
846,black forest games
847,rcto productions
848,rooster teeth games
849,mixed realms pte ltd
850,portable moose
851,amanita design
852,maple media
853,marvelous europe limited
854,drinkbox studios
855,snowrunner games
856,stone blade entertainment
857,moacube
858,teotl studios
859,grip digital
860,gametrust games
861,hangame
862,smilegate
863,twn/lion games co.
864,disruptor beam
865,concernedape
866,increpare games
867,spearhead games
868,taito
869,gaijinworks
870,superhot team
871,polytron
872,bitfinity
873,sunken treasure games
874,whale hammer games
875,screen 7 entertainment
876,choice provisions
877,numinous games
878,pantera entertainment
879,1c publishing eu
880,drool
881,minority media inc.
882,gamesco
883,lifewonders
884,nikkatsu
885,q-games
886,reakktor studios
887,hiroyoshi oshiba
888,nexon korea
889,eu/na/sa/imc games co.
890,ltd
891,nexon japan
892,nexon thailand
893,nighthawk interactive
894,gamious
895,brainy studio llc
896,grapefrukt
897,clever endeavour games
898,comongames
899,digital tribe
900,ysbryd games
901,wolfgame
902,milestone s.r.l.
903,rayark
904,kixeye
905,risky lab
906,playway
907,ultimate games
908,uber entertainment
909,whale rock games
910,santa ragione
911,thekla
912,code horizon
913,sonka
914,mad fellows
915,uplift games
916,sandbox interactive
917,n/a
918,elden pixels
919,wright flyer studios
920,green man gaming
921,lowiro
922,skydance interactive
923,big ant studios
924,panic button
925,charles university
926,czech academy of sciences
927,jp/bushiroad
928,tw/hk/mobimon inc.
929,bilibili
930,overhype studios
931,trinket studios
932,stunlock studios
933,kindly beast
934,vision games
935,blue mammoth games
936,angry mob games
937,buddy productions gmbh
938,funk
939,v7 entertainment
940,zodiac interactive
941,indienova
942,e-home entertainment
943,sauropod studio
944,yogscast games
945,doborog games
946,ch team
947,killerfish games
948,vertigo gaming
949,zeboyd games
950,powerhoof
951,studio mdhr
952,amanotes pte. ltd.
953,acid wizard studio
954,chorus worldwide
955,smg studio
956,gametrust
957,red candle games
958,high horse entertainment
959,alawar
960,team salvato
961,illwinter game design
962,game grumps
963,hasbro
964,4 i lab
965,ultra ultra
966,kyle seeley
967,edmund mcmillen
968,tyler glaiel
969,mahdi bahrami
970,rockfish games
971,logic artists
972,new blood interactive
973,snapbreak games
974,digital crafter
975,mz
976,nacon
977,over fence co. ltd.
978,ace maddox
979,earthwork games
980,captain games
981,double fine presents
982,boneloaf
983,circle ent
984,starsign
985,sidebar games
986,vertex pop
987,dvloper
988,golden era games
989,arenanet
990,game insight
991,future games select
992,humble bundle
993,suspicious developments
994,ninja theory
995,runic games
996,team cherry
997,yggdrazil group co.
998,blue brain games
999,ratalaika games
1000,d'avekki studios
1001,pikpok
1002,game ever studio
1003,0up games
1004,parabole
1005,eastshade studios
1006,will o'neill
1007,hinterland studio
1008,hollow ponds
1009,craftven
1010,inxile entertainment
1011,borealys games
1012,torn banner studios
1013,sometimes you
1014,laundry bear games
1015,704games
1016,mad dog games
1017,housemarque
1018,finji
1019,playdius
1020,robot entertainment
1021,wolfire games
1022,nvyve studios
1023,tree men games
1024,hal egg
1025,the deep end games
1026,feardemic
1027,armor games
1028,foxnext
1029,the imaginarium
1030,creative england
1031,polykid
1032,kurechii
1033,nway
1034,lionsgate games
1035,krafton
1036,cardboard keep
1037,laura shigihara
1038,digigo
1039,good shepherd entertainment
1040,buka entertainment
1041,six foot
1042,pixel reign
1043,east2west games
1044,kiss publishing
1045,freejam games
1046,tequila works
1047,big robot
1048,kaigan games
1049,pokelabo
1050,monomi park
1051,sumo digital
1052,dispatch games
1053,wizard fu games
1054,mercurysteam
1055,feperd games
1056,axlebolt
1057,juggernaut games
1058,frogdice
1059,loren lemcke
1060,fullbright
1061,alternativaplatform
1062,david wehle
1063,bedtime digital games
1064,alliance
1065,terrible toybox
1066,mode 7 games
1067,unties
1068,pocketwatch games
1069,techland publishing
1070,hit-point
1071,aeiowu
1072,brilliant game studios
1073,ludomotion
1074,angry demon studio
1075,blazepro
1076,retroism
1077,joshprod
1078,screenwave media
1079,studio spektar
1080,illusion
1081,poisoft
1082,usc games
1083,gamera interactive
