Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,2460.000000,2491.000000,2362.000000,2419.000000,2125.698975,1276500
2013-06-04,2438.000000,2467.000000,2353.000000,2427.000000,2132.728760,1382200
2013-06-05,2378.000000,2538.000000,2301.000000,2306.000000,2026.399902,1714000
2013-06-06,2260.000000,2271.000000,2172.000000,2216.000000,1947.312378,1559100
2013-06-07,2223.000000,2355.000000,2200.000000,2298.000000,2019.370117,1776200
2013-06-10,2360.000000,2460.000000,2340.000000,2460.000000,2161.728027,1034200
2013-06-11,2439.000000,2557.000000,2420.000000,2446.000000,2149.425049,1301800
2013-06-12,2386.000000,2395.000000,2303.000000,2371.000000,2083.518555,1477100
2013-06-13,2360.000000,2360.000000,2182.000000,2231.000000,1960.493896,2109000
2013-06-14,2242.000000,2400.000000,2224.000000,2232.000000,1961.372437,3159700
2013-06-17,2204.000000,2322.000000,2151.000000,2291.000000,2013.218872,1844600
2013-06-18,2249.000000,2287.000000,2207.000000,2238.000000,1966.644897,2060600
2013-06-19,2237.000000,2288.000000,2215.000000,2245.000000,1972.796631,1594600
2013-06-20,2190.000000,2244.000000,2171.000000,2207.000000,1939.404053,1708900
2013-06-21,2143.000000,2263.000000,2123.000000,2233.000000,1962.251221,2383800
2013-06-24,2280.000000,2281.000000,2208.000000,2219.000000,1949.949097,1135600
2013-06-25,2264.000000,2274.000000,2158.000000,2195.000000,1928.858765,1177900
2013-06-26,2241.000000,2268.000000,2110.000000,2119.000000,1862.073486,1076100
2013-06-27,2120.000000,2127.000000,2000.000000,2082.000000,1829.559814,1985700
2013-06-28,2094.000000,2135.000000,2067.000000,2105.000000,1849.770752,1264400
2013-07-01,2125.000000,2186.000000,2118.000000,2177.000000,1913.041016,1611500
2013-07-02,2178.000000,2230.000000,2122.000000,2207.000000,1939.404053,1365100
2013-07-03,2185.000000,2207.000000,2140.000000,2151.000000,1890.193237,966100
2013-07-04,2104.000000,2107.000000,1988.000000,2001.000000,1758.380859,2898600
2013-07-05,2011.000000,2052.000000,2011.000000,2049.000000,1800.561035,1973100
2013-07-08,2061.000000,2092.000000,2036.000000,2039.000000,1791.773560,1159200
2013-07-09,2040.000000,2075.000000,2023.000000,2072.000000,1820.772461,1150200
2013-07-10,2085.000000,2103.000000,2050.000000,2078.000000,1826.044678,1141000
2013-07-11,2095.000000,2120.000000,2076.000000,2113.000000,1856.801392,1206100
2013-07-12,2115.000000,2170.000000,2115.000000,2127.000000,1869.103516,2033200
2013-07-16,2164.000000,2292.000000,2149.000000,2266.000000,1991.249878,2823500
2013-07-17,2258.000000,2265.000000,2230.000000,2256.000000,1982.462769,806000
2013-07-18,2276.000000,2349.000000,2276.000000,2312.000000,2031.672729,6550500
2013-07-19,2355.000000,2369.000000,2180.000000,2226.000000,1956.099976,1721400
