name,publishers,series,release,genres,modes
2K_Drive,,NA,2013-09-05,Racing game,Single-player
2K_Drive,,NA,2013-09-05,Racing game,multiplayer
4_Pics_1_Word,,NA,2013-02-22,Word game,Single-player and multiplayer
4_Pics_1_Word,,NA,2013-02-22,puzzle,Single-player and multiplayer
7_Days_to_Die,,NA,2013-12-13,Survival horror,Single-player
7_Days_to_Die,,NA,2013-12-13,Survival horror,multiplayer
140_(video_game),,NA,2013-10-16,Platform,Single-player
868-HACK,,NA,2013-08-30,Roguelike,Single-player
A.R.E.S.:_Extinction_Agenda,,NA,2010-12-14,Platform,Single-player
A.R.E.S.:_Extinction_Agenda,,NA,2010-12-14,shooter,Single-player
Aarklash:_Legacy,,NA,2013-09-12,Tactical RPG,Single-player
AFL_Live_2,tru blu entertainment,AFL,2013-09-12,Sports,Single-player
AFL_Live_2,tru blu entertainment,AFL,2013-09-12,Sports,multiplayer
